generator,ks_mean,ks_max,wasserstein_mean,wasserstein_max,correlation_distance,discriminator_auroc
copula,0.11093106806606044,0.6776097763048882,0.12642281346811512,0.39703576968930254,3.2366378650526073,0.9999991810489327
ctgan,0.10005337450308001,0.6776097763048882,0.07503193821772569,0.2342123608293963,1.652093793660181,0.9999931057811411
tvae,0.10832462557843625,0.6776097763048882,0.09358911219131809,0.4239108253658288,3.2452775892534786,0.9999980416698653
